station_id,lat,lon,source,reports,country
SPST1,36.513,-86.862,madis,subhourly,US
SPST2,33.481,-100.876,madis,subhourly,US
SPSV2,37.287,-80.075,madis,subhourly,US
SPSW1,45.99,-120.68,madis,subhourly,US
SPSW4,42.573,-108.843,madis,subhourly,US
SPTC2,39.409,-105.169,madis,subhourly,US
SPTG1,33.373,-82.139,madis,subhourly,US
SPTM5,44.325,-93.953,madis,subhourly,US
SPTP1,41.824,-79.736,madis,subhourly,US
SPTW1,46.261,-122.177,madis,subhourly,US
SPTW2,39.714,-79.66,madis,subhourly,US
SPVC2,39.188,-104.778,madis,subhourly,US
SPVCA,36.19,-118.8,madis,subhourly,US
SPVSD,33.093,-116.955,madis,subhourly,US
SPWC1,38.133,-120.367,madis,subhourly,US
SPWT1,36.457,-83.884,madis,subhourly,US
SPWW4,44.467,-107.034,madis,subhourly,US
SPYN6,42.581,-75.564,madis,subhourly,US
SPYT1,35.275,-89.887,madis,subhourly,US
SQAN3,43.706,-71.63,madis,subhourly,US
SQBC1,39.195,-120.229,madis,subhourly,US
SQCT2,31.182,-98.856,madis,subhourly,US
SQFC1,34.866,-120.294,madis,subhourly,US
SQFI1,44.771,-116.249,madis,subhourly,US
SQFO3,42.07,-123.012,madis,subhourly,US
SQGW2,39.028,-78.678,madis,subhourly,US
SQLW1,47.542,-121.836,madis,subhourly,US
SQPM8,47.179,-114.334,madis,subhourly,US
SQPW1,47.425,-121.414,madis,subhourly,US
SQSC1,35.368,-117.57,madis,subhourly,US
SQTSD,32.798,-116.779,madis,subhourly,US
SQUU1,38.497,-112.008,madis,subhourly,US
SQWC1,39.19,-120.266,madis,subhourly,US
SQWC2,39.681,-105.496,madis,subhourly,US
SRAC1,38.31,-119.6,madis,subhourly,US
SRAC2,39.511,-105.537,madis,subhourly,US
SRAM8,45.551,-109.388,madis,subhourly,US
SRAW4,41.455,-106.806,madis,subhourly,US
SRBC1,38.684,-121.272,madis,subhourly,US
SRBW1,46.372,-122.578,madis,subhourly,US
SRCI2,39.406,-88.896,madis,subhourly,US
SRCN4,40.639,-74.916,madis,subhourly,US
SRDI2,41.333,-88.85,madis,subhourly,US
SRDM2,39.507,-79.134,madis,subhourly,US
SRDM6,34.399,-89.787,madis,subhourly,US
SRDT2,28.865,-95.568,madis,subhourly,US
SRDW1,47.946,-120.247,madis,subhourly,US
SRES1,33.153,-79.363,madis,subhourly,US
SRFI1,45.1,-116.738,madis,subhourly,US
SRFM5,47.514,-96.342,madis,subhourly,US
SRFU1,38.858,-110.369,madis,subhourly,US
SRGA2,64.814,-147.629,madis,subhourly,US
SRGA4,35.657,-92.293,madis,subhourly,US
SRGC2,37.657,-106.649,madis,subhourly,US
SRGM8,47.302,-115.087,madis,subhourly,US
SRGN4,40.691,-74.937,madis,subhourly,US
SRGS1,34.012,-81.779,madis,subhourly,US
SRGV2,37.019,-82.406,madis,subhourly,US
SRHM5,46.794,-94.952,madis,subhourly,US
SRHSD,32.808,-116.508,madis,subhourly,US
SRIC1,33.979,-120.079,madis,subhourly,US
SRIW2,38.468,-80.421,madis,subhourly,US
SRJU1,39.375,-112.039,madis,subhourly,US
SRKA2,66.975,-160.449,madis,subhourly,US
SRKK2,38.247,-83.589,madis,subhourly,US
SRKU1,38.196,-112.147,madis,subhourly,US
SRMM5,47.822,-93.018,madis,subhourly,US
SRMT2,29.719,-99.549,madis,subhourly,US
SRNA2,60.532,-149.555,madis,subhourly,US
SRNC1,38.211,-120.464,madis,subhourly,US
SRNNV,39.257,-119.834,madis,subhourly,US
SRO ,29.883,-97.866,isd,hourly,US
SROC1,33.546,-115.47,madis,subhourly,US
SRON6,43.8,-73.7,madis,subhourly,US
SRP01,33.44,-111.95,madis,subhourly,US
SRP10,33.51,-111.69,madis,subhourly,US
SRP14,32.9,-111.79,madis,subhourly,US
SRP15,33.22,-111.78,madis,subhourly,US
SRP19,33.98,-111.71,madis,subhourly,US
SRP20,33.82,-111.63,madis,subhourly,US
SRP21,33.46,-111.94,madis,subhourly,US
SRP22,33.16,-111.49,madis,subhourly,US
SRP25,33.71,-112.32,madis,subhourly,US
